assessmentId,internalTaxonId,scientificName,redlistCategory,yearPublished,assessmentDate,populationTrend,systems,realm,scopes
1974238,191245,Moxostoma mascotae,Vulnerable,2019,2018-11-01 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1974336,191247,Algansea amecae,Endangered,2019,2018-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1974343,191248,Algansea aphanea,Endangered,2019,2018-10-16 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1974357,191250,Algansea barbata,Critically Endangered,2019,2018-12-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic|Neotropical,Global
1974364,191251,Algansea lacustris,Critically Endangered,2019,2018-06-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1974378,191253,Algansea popoche,Endangered,2019,2018-04-24 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic|Neotropical,Global
1974807,191274,Notropis calabazas,Critically Endangered,2019,2018-03-01 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1974814,191275,Notropis calientis,Critically Endangered,2019,2018-03-01 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic|Neotropical,Global
1975226,191286,Notropis grandis,Endangered,2019,2018-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1975233,191287,Notropis marhabatiensis,Critically Endangered,2019,2018-03-02 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1975303,191297,Yuriria alta,Endangered,2019,2018-08-22 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic|Neotropical,Global
1975310,191298,Yuriria amatlana,Endangered,2019,2018-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1975317,191299,Yuriria chapalae,Endangered,2019,2018-04-13 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1975683,191313,Fundulus philpisteri,Critically Endangered,2019,2018-03-09 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global
1977341,191369,Allodontichthys hubbsi,Endangered,2019,2018-03-07 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1977348,191370,Allodontichthys polylepis,Critically Endangered,2019,2018-04-17 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1977355,191371,Allodontichthys tamazulae,Vulnerable,2019,2018-03-07 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1977362,191372,Allodontichthys zonistius,Vulnerable,2019,2018-03-07 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),,Global
1987445,191525,Brotia laodelectata,Vulnerable,2012,2010-10-27 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Indomalayan,Global
1998108,191692,Alloophorus robustus,Vulnerable,2019,2018-04-17 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1998425,191695,Allotoca dugesii,Endangered,2019,2018-03-07 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
1998439,191697,Allotoca meeki,Critically Endangered,2019,2018-03-08 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Neotropical,Global
