assessmentId,internalTaxonId,scientificName,redlistCategory,yearPublished,assessmentDate,populationTrend,systems
1494618,17765,Poblana squamata,Critically Endangered,2019,2018-05-03 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1527142,178217,Emoia adspersa,Endangered,2013,2011-09-12 00:00:00 UTC,Decreasing,Terrestrial
1528580,17823,Podocnemis lewyana,Critically Endangered,2016,2015-07-01 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters)
1535415,178469,Emoia boettgeri,Endangered,2013,2011-09-12 00:00:00 UTC,Decreasing,Terrestrial
1540242,178635,Emoia aneityumensis,Endangered,2013,2011-09-13 00:00:00 UTC,Decreasing,Terrestrial
1604460,180238,Stichopus herrmanni,Vulnerable,2013,2010-05-18 00:00:00 UTC,Decreasing,Marine
1606648,180257,Holothuria scabra,Endangered,2013,2010-05-18 00:00:00 UTC,Decreasing,Marine
1607822,180265,Actinopyga miliaris,Vulnerable,2013,2010-05-15 00:00:00 UTC,Decreasing,Marine
1609567,180275,Holothuria lessoni,Endangered,2013,2010-05-18 00:00:00 UTC,Decreasing,Marine
1616879,180337,Actinopyga mauritiana,Vulnerable,2013,2010-05-15 00:00:00 UTC,Decreasing,Marine
1621102,180368,Apostichopus parvimensis,Vulnerable,2013,2010-05-18 00:00:00 UTC,Stable,Marine
1621878,180373,Isostichopus fuscus,Endangered,2013,2010-05-18 00:00:00 UTC,Decreasing,Marine
1629389,180424,Apostichopus japonicus,Endangered,2013,2010-05-19 00:00:00 UTC,Decreasing,Marine
1636021,180481,Thelenota ananas,Endangered,2013,2010-05-18 00:00:00 UTC,Decreasing,Marine
1642310,180518,Actinopyga echinites,Vulnerable,2013,2010-05-18 00:00:00 UTC,Decreasing,Marine
1646550,180566,Aplocheilus dayi,Endangered,2019,2019-08-01 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1662013,180780,Rhodeus laoensis,Vulnerable,2012,2011-01-21 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1662184,180781,Pterocryptis inusitata,Endangered,2012,2011-03-21 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1670425,180855,Clarias batu,Critically Endangered,2019,2019-01-17 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1677819,18091,Potamilus capax,Vulnerable,2012,2012-06-07 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1679325,180931,Schistura quasimodo,Endangered,2012,2011-01-19 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1680115,180938,Poropuntius bolovenensis,Endangered,2012,2011-03-09 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1681693,180953,Rhinogobius lineatus,Endangered,2012,2011-11-11 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1687703,181006,Schistura atra,Vulnerable,2012,2011-01-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1691255,181035,Hemimyzon confluens,Vulnerable,2012,2011-01-19 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1695062,181070,Rhinogobius albimaculatus,Vulnerable,2012,2011-11-11 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1696268,181081,Oreoglanis heteropogon,Endangered,2012,2011-01-19 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1705478,181163,Schistura kontumensis,Vulnerable,2013,2011-11-15 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
1709446,181206,Barbodes dunckeri,Endangered,2019,2018-12-24 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
