internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName
12906,Maxomys wattsi,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Maxomys,wattsi
13114,Melomys aerosus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Melomys,aerosus
14107,Myosorex geata,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Myosorex,geata
14112,Myosorex okuensis,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Myosorex,okuensis
14113,Myosorex rumpii,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Myosorex,rumpii
14560,Neopteryx frosti,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Neopteryx,frosti
15087,Octodon bridgesi,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,OCTODONTIDAE,Octodon,bridgesi
15951,Panthera leo,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,FELIDAE,Panthera,leo
16212,Paraxerus vincenti,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,SCIURIDAE,Paraxerus,vincenti
16426,Paulamys naso,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Paulamys,naso
16735,Petinomys genibarbis,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,SCIURIDAE,Petinomys,genibarbis
16740,Petinomys vordermanni,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,SCIURIDAE,Petinomys,vordermanni
17400,Pithecheir melanurus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Pithecheir,melanurus
17481,Platacanthomys lasiurus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,PLATACANTHOMYIDAE,Platacanthomys,lasiurus
18113,Praomys hartwigi,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Praomys,hartwigi
18118,Praomys morio,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Praomys,morio
18554,Pseudomys oralis,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Pseudomys,oralis
18745,Pteropus ocularis,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,PTEROPODIDAE,Pteropus,ocularis
19334,Rattus hainaldi,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Rattus,hainaldi
19336,Rattus hoogerwerfi,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Rattus,hoogerwerfi
19342,Rattus lugens,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Rattus,lugens
19359,Rattus ranjiniae,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Rattus,ranjiniae
19362,Rattus simalurensis,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Rattus,simalurensis
19365,Rattus stoicus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Rattus,stoicus
21142,Suncus dayi,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Suncus,dayi
21146,Suncus mertensi,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Suncus,mertensi
21154,Sundasciurus fraterculus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,SCIURIDAE,Sundasciurus,fraterculus
21221,Sylvisorex morio,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Sylvisorex,morio
21293,Tachyoryctes macrocephalus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,SPALACIDAE,Tachyoryctes,macrocephalus
