internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
169548,Mystus bocourti,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,BAGRIDAE,Mystus,bocourti,,,,,"(Bleeker, 1864)",
169549,Schistura tubulinaris,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,BALITORIDAE,Schistura,tubulinaris,,,,,"Kottelat, 1998",
169552,Pseudolaubuca hotaya,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Pseudolaubuca,hotaya,,,,,"Mai, 1978",
169555,Chendol lubricus,ANIMALIA,CHORDATA,SYNBRANCHIFORMES,ACTINOPTERYGII,CHAUDHURIIDAE,Chendol,lubricus,,,,,"Kottelat &amp; Lim, 1994",
169618,Etroplus canarensis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,CICHLIDAE,Etroplus,canarensis,,,,,"Day, 1877","<span style=""font-style: italic;"">Etroplus canarensis</span> was described by Day (1865) from South Canara (currently Karnataka, India)."
169621,Cyprinus qionghaiensis,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Cyprinus,qionghaiensis,,,,,"Liu, 1981",
169627,Labeo potail,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Labeo,potail,,,,,"(Sykes, 1839)","<span style=""font-style: italic;"">Labeo potail </span>was originally described as <span style=""font-style: italic;"">Cyprinus potail </span>Sykes (1839) from Temburni on Bhima river, Maharashtra."
169628,Coregonus subautumnalis,ANIMALIA,CHORDATA,SALMONIFORMES,ACTINOPTERYGII,SALMONIDAE,Coregonus,subautumnalis,,,,,"Kaganowsky, 1932",
169660,Gagata itchkeea,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,SISORIDAE,Gagata,itchkeea,,,,,"(Sykes, 1839)","<span style=""font-style: italic;"">Gagata itchkeea</span> was described as <span style=""font-style: italic;"">Phractocephalus  itchkeea</span> by Sykes (1839) from Bhima River at Pairgaon, Maharashtra, India."
169676,Chaetodontoplus vanderloosi,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,POMACANTHIDAE,Chaetodontoplus,vanderloosi,,,,,"Allen &amp; Steene, 2004",
169749,Dryophiops philippina,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Dryophiops,philippina,,,,,"Boulenger, 1896",
